Case,Checking_status,Credit_history,Purpose,Credit_amount,Saving_status,Employment,Personal_status,Age,Job,Class
569,'0<=X<200','existing paid',radio/tv,medium,'no known savings','4<=X<7','male single',middle aged,skilled,good
570,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
571,'<0','existing paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
572,'no checking','critical/other existing credit',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,good
573,'no checking','existing paid','used car',medium,'no known savings',unemployed,'female div/dep/mar',young,'high qualif/self emp/mgmt',good
574,'<0','existing paid',business,low,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',good
575,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','male single',young,'unskilled resident',good
576,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,good
577,'0<=X<200','existing paid',radio/tv,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,good
578,'no checking','critical/other existing credit',education,low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,good
579,'0<=X<200','critical/other existing credit','new car',medium,'<100','<1','male div/sep',young,skilled,bad
580,'no checking','existing paid',retraining,low,'<100','<1','male mar/wid',young,'unskilled resident',good
581,'0<=X<200','critical/other existing credit','new car',low,'<100','>=7','male single',young,skilled,bad
582,'0<=X<200','critical/other existing credit','new car',medium,'<100','<1','male single',middle aged,'unskilled resident',good
583,'no checking','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,good
584,'0<=X<200','existing paid',repairs,medium,'<100','<1','male single',young,'unskilled resident',bad
585,'no checking','existing paid','new car',medium,'no known savings','>=7','female div/dep/mar',middle aged,'high qualif/self emp/mgmt',good
586,'<0','existing paid',furniture/equipment,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
587,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,skilled,good
588,'<0','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',young,'unskilled resident',good
589,'<0','existing paid','domestic appliance',low,'<100','1<=X<4','male mar/wid',middle aged,'unskilled resident',bad
590,'<0','critical/other existing credit',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,bad
591,'<0','critical/other existing credit',radio/tv,low,'<100','4<=X<7','female div/dep/mar',middle aged,'unskilled resident',good
592,'0<=X<200','delayed previously','new car',low,'no known savings','1<=X<4','female div/dep/mar',middle aged,skilled,good
593,'no checking','existing paid',business,low,'>=1000','>=7','female div/dep/mar',young,'unskilled resident',good
594,'0<=X<200','existing paid','new car',medium,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
595,'<0','all paid',other,low,'no known savings','>=7','male single',middle aged,'high qualif/self emp/mgmt',bad
596,'0<=X<200','all paid','new car',low,'100<=X<500','<1','female div/dep/mar',young,'unskilled resident',bad
597,'<0','existing paid','new car',low,'<100','4<=X<7','female div/dep/mar',young,skilled,bad
598,'0<=X<200','no credits/all paid',business,medium,'<100','1<=X<4','male single',young,'unskilled resident',bad
599,'no checking','critical/other existing credit','new car',medium,'<100','4<=X<7','male single',young,skilled,bad
600,'no checking','delayed previously',business,medium,'<100','1<=X<4','male single',young,skilled,good
601,'0<=X<200','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',middle aged,skilled,good
602,'0<=X<200','existing paid',furniture/equipment,low,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
603,'0<=X<200','all paid',education,low,'<100','4<=X<7','female div/dep/mar',young,'unskilled resident',bad
604,'no checking','existing paid',furniture/equipment,medium,'<100','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
605,'>=200','existing paid',furniture/equipment,low,'<100','<1','female div/dep/mar',young,skilled,good
606,'<0','all paid',furniture/equipment,medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
607,'no checking','critical/other existing credit',business,medium,'<100','1<=X<4','male single',old aged,'high qualif/self emp/mgmt',good
608,'0<=X<200','existing paid',radio/tv,medium,'100<=X<500','1<=X<4','female div/dep/mar',middle aged,skilled,bad
609,'no checking','existing paid',radio/tv,medium,'<100','<1','male single',young,skilled,good
610,'no checking','existing paid','used car',low,'no known savings','>=7','male single',middle aged,skilled,good
611,'<0','existing paid','domestic appliance',low,'100<=X<500',unemployed,'female div/dep/mar',young,skilled,bad
612,'>=200','existing paid','new car',low,'100<=X<500','>=7','female div/dep/mar',middle aged,'unskilled resident',bad
613,'<0','existing paid',radio/tv,medium,'>=1000','<1','female div/dep/mar',young,skilled,good
614,'<0','all paid','used car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
615,'no checking','delayed previously',furniture/equipment,low,'<100','4<=X<7','female div/dep/mar',young,skilled,bad
616,'0<=X<200','no credits/all paid',business,high,'no known savings','1<=X<4','male single',middle aged,'high qualif/self emp/mgmt',good
617,'0<=X<200','delayed previously',radio/tv,high,'no known savings','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
618,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male single',young,skilled,good
619,'0<=X<200','existing paid',furniture/equipment,medium,'100<=X<500','1<=X<4','female div/dep/mar',young,skilled,bad
620,'no checking','existing paid','new car',low,'<100','1<=X<4','male div/sep',middle aged,'unskilled resident',good
621,'0<=X<200','critical/other existing credit',business,medium,'<100','4<=X<7','male single',young,skilled,good
622,'no checking','critical/other existing credit','new car',low,'<100','1<=X<4','male single',young,skilled,bad
623,'no checking','existing paid',business,medium,'no known savings','1<=X<4','male div/sep',young,skilled,bad
624,'<0','existing paid',furniture/equipment,low,'<100','<1','female div/dep/mar',young,skilled,good
625,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','male single',old aged,skilled,bad
626,'no checking','existing paid',radio/tv,low,'no known savings','>=7','male single',young,skilled,good
627,'>=200','existing paid',furniture/equipment,medium,'<100','1<=X<4','male single',middle aged,skilled,good
628,'0<=X<200','all paid','new car',low,'100<=X<500','4<=X<7','male single',young,skilled,bad
629,'no checking','critical/other existing credit',furniture/equipment,medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
630,'no checking','existing paid',education,medium,'no known savings','>=7','male single',old aged,'unskilled resident',good
631,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
632,'<0','all paid',furniture/equipment,low,'<100','1<=X<4','male single',middle aged,skilled,bad
633,'0<=X<200','existing paid',radio/tv,low,'no known savings','<1','male single',young,skilled,good
634,'no checking','existing paid',furniture/equipment,low,'<100','<1','female div/dep/mar',young,skilled,bad
635,'0<=X<200','existing paid','new car',low,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
636,'no checking','existing paid',education,low,'<100','>=7','male single',middle aged,skilled,good
637,'no checking','existing paid',radio/tv,low,'500<=X<1000','4<=X<7','female div/dep/mar',young,skilled,good
638,'no checking','delayed previously',radio/tv,high,'<100','4<=X<7','male single',young,skilled,good
639,'no checking','existing paid',radio/tv,low,'<100','<1','female div/dep/mar',young,skilled,good
640,'<0','delayed previously',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,bad
641,'<0','existing paid',education,low,'<100',unemployed,'female div/dep/mar',young,'unemp/unskilled non res',bad
642,'0<=X<200','existing paid',repairs,low,'<100','>=7','male single',young,'unskilled resident',good
643,'no checking','existing paid',education,medium,'100<=X<500','1<=X<4','male single',middle aged,'high qualif/self emp/mgmt',bad
644,'no checking','critical/other existing credit',radio/tv,low,'<100','4<=X<7','male mar/wid',young,skilled,good
645,'<0','critical/other existing credit',radio/tv,low,'<100','4<=X<7','male mar/wid',young,'high qualif/self emp/mgmt',good
646,'no checking','delayed previously',business,medium,'no known savings','<1','male single',young,skilled,bad
647,'<0','no credits/all paid',furniture/equipment,medium,'<100','1<=X<4','male div/sep',young,skilled,good
648,'no checking','existing paid','new car',low,'500<=X<1000','1<=X<4','female div/dep/mar',young,skilled,bad
649,'>=200','existing paid','new car',low,'<100','4<=X<7','male single',young,skilled,bad
650,'<0','existing paid',education,low,'<100','1<=X<4','male single',middle aged,'unskilled resident',bad
651,'<0','existing paid',education,medium,'<100','4<=X<7','male single',middle aged,'high qualif/self emp/mgmt',good
652,'0<=X<200','existing paid',furniture/equipment,low,'<100','1<=X<4','male single',young,'unskilled resident',bad
653,'<0','existing paid','new car',medium,'<100','>=7','male single',middle aged,skilled,bad
654,'0<=X<200','delayed previously','new car',medium,'100<=X<500','>=7','male single',middle aged,'high qualif/self emp/mgmt',bad
655,'no checking','critical/other existing credit','used car',medium,'<100','4<=X<7','male single',young,skilled,good
656,'<0','existing paid','new car',medium,'<100',unemployed,'male single',young,skilled,good
657,'0<=X<200','existing paid','new car',low,'<100','>=7','male single',middle aged,'unskilled resident',bad
658,'no checking','existing paid',radio/tv,high,'no known savings','4<=X<7','male single',young,skilled,good
659,'0<=X<200','no credits/all paid',business,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
660,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,good
661,'>=200','existing paid',radio/tv,low,'<100','1<=X<4','male mar/wid',young,skilled,good
662,'<0','existing paid','new car',low,'no known savings','1<=X<4','male mar/wid',young,skilled,bad
663,'no checking','existing paid',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,good
664,'0<=X<200','delayed previously',furniture/equipment,low,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
665,'>=200','critical/other existing credit',education,low,'<100','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
666,'no checking','critical/other existing credit',other,medium,'<100',unemployed,'male single',young,'high qualif/self emp/mgmt',good
667,'0<=X<200','all paid',furniture/equipment,medium,'>=1000','1<=X<4','male single',young,skilled,good
668,'no checking','all paid',business,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,good
669,'<0','critical/other existing credit','new car',medium,'<100','>=7','male single',middle aged,skilled,bad
670,'>=200','critical/other existing credit',radio/tv,medium,'<100','>=7','male single',middle aged,skilled,good
671,'no checking','critical/other existing credit',business,medium,'100<=X<500','1<=X<4','male single',young,'unskilled resident',good
672,'no checking','existing paid',business,medium,'100<=X<500','4<=X<7','male single',young,skilled,good
673,'no checking','existing paid','new car',high,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
674,'no checking','critical/other existing credit','new car',medium,'500<=X<1000','1<=X<4','male mar/wid',young,skilled,good
675,'no checking','delayed previously',business,medium,'500<=X<1000','<1','male single',middle aged,'unskilled resident',bad
676,'no checking','critical/other existing credit',radio/tv,medium,'<100','4<=X<7','female div/dep/mar',young,'high qualif/self emp/mgmt',good
677,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','>=7','male single',young,skilled,good
678,'0<=X<200','existing paid',radio/tv,medium,'100<=X<500','1<=X<4','male mar/wid',young,skilled,bad
679,'<0','existing paid',radio/tv,medium,'<100','>=7','male single',old aged,'unskilled resident',good
680,'no checking','existing paid',radio/tv,low,'<100','<1','female div/dep/mar',young,skilled,good
681,'no checking','existing paid',education,low,'<100','<1','female div/dep/mar',middle aged,skilled,good
682,'no checking','existing paid',radio/tv,medium,'no known savings','1<=X<4','male single',young,skilled,good
683,'no checking','delayed previously',radio/tv,low,'<100','1<=X<4','male mar/wid',young,skilled,good
684,'no checking','critical/other existing credit',radio/tv,medium,'<100','<1','male mar/wid',middle aged,skilled,good
685,'0<=X<200','delayed previously',business,high,'100<=X<500','4<=X<7','male single',young,'unskilled resident',good
686,'no checking','existing paid','new car',medium,'no known savings','1<=X<4','male single',young,skilled,good
687,'>=200','critical/other existing credit',radio/tv,low,'no known savings','4<=X<7','male single',young,skilled,good
688,'0<=X<200','delayed previously','new car',medium,'100<=X<500','>=7','male single',young,skilled,good
689,'no checking','existing paid',radio/tv,medium,'100<=X<500','>=7','male single',young,skilled,good
690,'<0','existing paid','new car',medium,'>=1000','1<=X<4','male single',young,skilled,good
691,'<0','critical/other existing credit',furniture/equipment,low,'<100','1<=X<4','male div/sep',young,skilled,good
692,'0<=X<200','existing paid',repairs,medium,'100<=X<500','1<=X<4','female div/dep/mar',young,'unskilled resident',good
693,'0<=X<200','existing paid',radio/tv,medium,'100<=X<500','<1','male single',young,skilled,good
694,'<0','critical/other existing credit','new car',medium,'no known savings','<1','male single',middle aged,'unskilled resident',good
695,'no checking','existing paid',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,good
696,'no checking','existing paid','used car',low,'500<=X<1000','1<=X<4','male single',middle aged,skilled,good
697,'0<=X<200','existing paid',radio/tv,low,'<100','4<=X<7','male single',young,skilled,good
698,'no checking','critical/other existing credit','new car',low,'<100',unemployed,'female div/dep/mar',young,'unemp/unskilled non res',good
699,'no checking','critical/other existing credit',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
700,'>=200','existing paid',education,low,'<100','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
701,'no checking','existing paid',furniture/equipment,low,'500<=X<1000','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
702,'<0','critical/other existing credit','used car',medium,'<100','>=7','male single',middle aged,skilled,bad
703,'>=200','existing paid',radio/tv,low,'100<=X<500','>=7','female div/dep/mar',middle aged,skilled,good
704,'0<=X<200','delayed previously',business,medium,'100<=X<500','>=7','male single',middle aged,skilled,good
705,'0<=X<200','existing paid',business,medium,'<100','<1','female div/dep/mar',young,skilled,good
706,'no checking','existing paid','new car',medium,'500<=X<1000','>=7','female div/dep/mar',young,skilled,good
707,'0<=X<200','existing paid','new car',medium,'100<=X<500','4<=X<7','male single',young,skilled,bad
708,'0<=X<200','no credits/all paid',furniture/equipment,medium,'<100','<1','female div/dep/mar',young,skilled,bad
709,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','female div/dep/mar',young,skilled,good
710,'0<=X<200','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,'unskilled resident',good
711,'no checking','critical/other existing credit',radio/tv,low,'500<=X<1000','>=7','male single',young,'high qualif/self emp/mgmt',good
712,'<0','all paid',education,low,'<100','>=7','female div/dep/mar',young,skilled,bad
713,'no checking','existing paid','used car',medium,'no known savings','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
714,'<0','critical/other existing credit',radio/tv,low,'<100','1<=X<4','male single',young,'unskilled resident',good
715,'0<=X<200','existing paid','new car',high,'<100','4<=X<7','male single',young,'high qualif/self emp/mgmt',bad
716,'no checking','critical/other existing credit','used car',medium,'no known savings','>=7','male single',old aged,skilled,good
717,'no checking','critical/other existing credit',radio/tv,medium,'no known savings','>=7','male single',middle aged,skilled,good
718,'no checking','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,'high qualif/self emp/mgmt',good
719,'>=200','critical/other existing credit',radio/tv,medium,'no known savings','1<=X<4','male single',young,skilled,good
720,'0<=X<200','no credits/all paid','used car',medium,'100<=X<500','>=7','male mar/wid',young,skilled,good
721,'>=200','no credits/all paid',radio/tv,low,'<100','<1','male single',young,'high qualif/self emp/mgmt',bad
722,'0<=X<200','all paid',education,low,'>=1000','<1','female div/dep/mar',young,skilled,bad
723,'<0','existing paid','new car',low,'<100','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
724,'0<=X<200','existing paid',radio/tv,low,'500<=X<1000','1<=X<4','female div/dep/mar',old aged,'unskilled resident',good
725,'no checking','existing paid','new car',medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
726,'no checking','critical/other existing credit','new car',low,'>=1000','1<=X<4','female div/dep/mar',middle aged,'unskilled resident',good
727,'no checking','critical/other existing credit',radio/tv,low,'500<=X<1000','1<=X<4','male mar/wid',middle aged,'unskilled resident',good
728,'<0','existing paid',radio/tv,low,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
729,'0<=X<200','all paid',business,medium,'<100','>=7','female div/dep/mar',middle aged,skilled,bad
730,'>=200','critical/other existing credit',business,low,'>=1000','1<=X<4','male div/sep',young,skilled,good
731,'0<=X<200','delayed previously',radio/tv,medium,'<100','<1','male single',young,skilled,good
732,'<0','existing paid',radio/tv,low,'<100','1<=X<4','male single',young,'unskilled resident',bad
733,'0<=X<200','existing paid',radio/tv,low,'<100','4<=X<7','female div/dep/mar',middle aged,'unskilled resident',good
734,'no checking','existing paid','used car',medium,'>=1000','1<=X<4','female div/dep/mar',young,skilled,good
735,'no checking','critical/other existing credit','new car',medium,'<100','4<=X<7','female div/dep/mar',young,skilled,good
736,'0<=X<200','all paid','domestic appliance',medium,'no known savings','<1','female div/dep/mar',young,'unemp/unskilled non res',good
737,'0<=X<200','existing paid','used car',high,'<100','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
738,'<0','existing paid','new car',medium,'100<=X<500','1<=X<4','male single',young,'unskilled resident',good
739,'no checking','critical/other existing credit','new car',medium,'<100','4<=X<7','male single',middle aged,'high qualif/self emp/mgmt',good
740,'0<=X<200','no credits/all paid',business,medium,'100<=X<500','1<=X<4','female div/dep/mar',young,'unskilled resident',bad
741,'<0','all paid','new car',medium,'100<=X<500','4<=X<7','male single',young,skilled,good
742,'0<=X<200','all paid',radio/tv,low,'<100','1<=X<4','male single',young,'unskilled resident',good
743,'no checking','existing paid',radio/tv,medium,'no known savings','>=7','male single',middle aged,skilled,good
744,'<0','all paid',furniture/equipment,medium,'500<=X<1000','1<=X<4','male single',young,skilled,good
745,'<0','critical/other existing credit',furniture/equipment,high,'no known savings','4<=X<7','male single',young,'high qualif/self emp/mgmt',good
746,'<0','critical/other existing credit',business,low,'<100','<1','male single',young,'unskilled resident',good
747,'<0','existing paid','new car',medium,'<100',unemployed,'female div/dep/mar',young,skilled,good
748,'<0','existing paid','new car',low,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
749,'no checking','existing paid','used car',medium,'no known savings','1<=X<4','male single',young,skilled,good
750,'no checking','existing paid','used car',medium,'<100','4<=X<7','male single',young,skilled,good
751,'<0','existing paid',furniture/equipment,low,'<100','>=7','female div/dep/mar',middle aged,skilled,good
752,'<0','existing paid','new car',low,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
753,'0<=X<200','existing paid',business,low,'100<=X<500','4<=X<7','female div/dep/mar',young,'unskilled resident',good
754,'no checking','critical/other existing credit',radio/tv,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,good
755,'no checking','delayed previously',repairs,low,'>=1000','>=7','male single',middle aged,skilled,bad
756,'<0','existing paid','new car',low,'no known savings','4<=X<7','female div/dep/mar',young,skilled,bad
757,'>=200','critical/other existing credit','new car',low,'<100','1<=X<4','male single',old aged,'unemp/unskilled non res',good
758,'>=200','critical/other existing credit',radio/tv,low,'no known savings','1<=X<4','male single',young,skilled,bad
759,'no checking','existing paid','new car',low,'<100','1<=X<4','male single',young,skilled,good
760,'<0','critical/other existing credit','new car',low,'<100','>=7','male single',young,skilled,bad
761,'no checking','critical/other existing credit','new car',medium,'no known savings','>=7','female div/dep/mar',middle aged,skilled,good
762,'<0','critical/other existing credit',furniture/equipment,medium,'<100','1<=X<4','female div/dep/mar',young,skilled,bad
763,'<0','existing paid',radio/tv,medium,'<100','1<=X<4','male single',young,'unskilled resident',good
764,'no checking','critical/other existing credit','new car',high,'no known savings','>=7','male single',young,'high qualif/self emp/mgmt',bad
765,'no checking','critical/other existing credit','new car',medium,'100<=X<500','4<=X<7','male mar/wid',young,skilled,good
766,'0<=X<200','existing paid',radio/tv,low,'<100','>=7','male mar/wid',middle aged,'unskilled resident',good
767,'<0','existing paid',furniture/equipment,medium,'<100','<1','male div/sep',young,'unskilled resident',bad
768,'no checking','existing paid','used car',medium,'no known savings','<1','female div/dep/mar',young,skilled,good
769,'0<=X<200','critical/other existing credit',furniture/equipment,medium,'<100','>=7','male single',young,skilled,good
770,'no checking','critical/other existing credit',radio/tv,low,'<100','>=7','male single',old aged,'unskilled resident',good
771,'<0','existing paid','used car',medium,'no known savings','>=7','female div/dep/mar',young,skilled,good
772,'<0','critical/other existing credit',education,medium,'<100','1<=X<4','female div/dep/mar',young,'high qualif/self emp/mgmt',bad
773,'no checking','critical/other existing credit','used car',medium,'<100','>=7','male single',young,'high qualif/self emp/mgmt',good
774,'no checking','critical/other existing credit',radio/tv,medium,'100<=X<500','>=7','male single',middle aged,skilled,good
775,'>=200','critical/other existing credit','new car',low,'500<=X<1000',unemployed,'male single',old aged,'unemp/unskilled non res',good
776,'<0','existing paid','new car',low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,bad
777,'no checking','critical/other existing credit','new car',medium,'<100','4<=X<7','male single',young,skilled,good
778,'<0','existing paid',radio/tv,medium,'<100','4<=X<7','female div/dep/mar',young,skilled,good
779,'no checking','critical/other existing credit','used car',medium,'>=1000','>=7','male single',young,'high qualif/self emp/mgmt',good
780,'0<=X<200','existing paid',repairs,medium,'<100',unemployed,'female div/dep/mar',old aged,skilled,good
781,'0<=X<200','critical/other existing credit',radio/tv,medium,'<100','4<=X<7','male single',young,skilled,bad
782,'no checking','critical/other existing credit','new car',low,'>=1000','>=7','male single',middle aged,skilled,good
783,'0<=X<200','no credits/all paid',retraining,low,'<100','1<=X<4','male single',young,'unskilled resident',good
784,'0<=X<200','existing paid','new car',low,'100<=X<500','<1','female div/dep/mar',young,'unskilled resident',bad
785,'0<=X<200','existing paid','used car',medium,'no known savings',unemployed,'male div/sep',middle aged,'high qualif/self emp/mgmt',good
786,'0<=X<200','existing paid',business,low,'>=1000','1<=X<4','male single',young,'unskilled resident',good
787,'no checking','existing paid',radio/tv,medium,'500<=X<1000','>=7','male single',middle aged,skilled,good
788,'no checking','critical/other existing credit','used car',medium,'no known savings','>=7','male single',young,skilled,good
789,'0<=X<200','delayed previously',education,medium,'<100','>=7','male single',middle aged,skilled,bad
790,'<0','critical/other existing credit',education,medium,'<100','1<=X<4','male single',young,skilled,bad
791,'0<=X<200','existing paid',business,low,'<100','>=7','female div/dep/mar',young,skilled,bad
792,'no checking','existing paid','used car',medium,'no known savings','>=7','male single',middle aged,'high qualif/self emp/mgmt',good
793,'no checking','critical/other existing credit',furniture/equipment,low,'no known savings','1<=X<4','male mar/wid',young,skilled,good
794,'>=200','existing paid',furniture/equipment,medium,'<100','>=7','male div/sep',middle aged,skilled,good
795,'no checking','existing paid',furniture/equipment,medium,'500<=X<1000','>=7','male single',young,skilled,good
796,'no checking','existing paid',furniture/equipment,medium,'100<=X<500','<1','female div/dep/mar',young,skilled,good
797,'<0','existing paid','used car',medium,'no known savings','>=7','male single',middle aged,skilled,bad
798,'no checking','critical/other existing credit',furniture/equipment,low,'<100','<1','female div/dep/mar',young,'unskilled resident',good
799,'no checking','delayed previously','new car',low,'no known savings','>=7','male mar/wid',middle aged,skilled,good
800,'0<=X<200','existing paid','new car',low,'no known savings','<1','male single',young,'unemp/unskilled non res',good
801,'no checking','critical/other existing credit',education,low,'<100','>=7','male single',middle aged,skilled,good
802,'0<=X<200','critical/other existing credit',radio/tv,low,'<100','>=7','female div/dep/mar',middle aged,'unskilled resident',good
803,'<0','critical/other existing credit',furniture/equipment,medium,'<100','>=7','female div/dep/mar',young,skilled,good
804,'no checking','critical/other existing credit',radio/tv,low,'no known savings','>=7','male single',young,skilled,good
805,'0<=X<200','existing paid','new car',medium,'no known savings',unemployed,'female div/dep/mar',young,'unemp/unskilled non res',good
806,'<0','existing paid','new car',high,'<100','4<=X<7','male single',young,skilled,bad
807,'0<=X<200','existing paid',radio/tv,low,'<100','<1','male mar/wid',young,'unskilled resident',good
808,'no checking','critical/other existing credit',radio/tv,low,'no known savings','>=7','male single',old aged,skilled,good
809,'0<=X<200','all paid','used car',high,'<100',unemployed,'male single',middle aged,'high qualif/self emp/mgmt',good
810,'0<=X<200','no credits/all paid','new car',low,'<100','<1','female div/dep/mar',young,'unemp/unskilled non res',bad
811,'0<=X<200','existing paid',business,low,'<100','<1','male mar/wid',young,skilled,good
812,'0<=X<200','existing paid',radio/tv,low,'<100','4<=X<7','male mar/wid',young,'unskilled resident',good
813,'<0','critical/other existing credit','used car',high,'<100','4<=X<7','male single',young,skilled,bad
814,'<0','existing paid','domestic appliance',medium,'<100','1<=X<4','male single',middle aged,skilled,bad
815,'<0','existing paid','new car',medium,'<100','4<=X<7','male single',middle aged,skilled,bad
816,'0<=X<200','delayed previously','new car',medium,'<100','1<=X<4','female div/dep/mar',middle aged,skilled,good
817,'no checking','existing paid','domestic appliance',low,'500<=X<1000','1<=X<4','male div/sep',old aged,skilled,good
818,'no checking','critical/other existing credit',radio/tv,low,'<100','4<=X<7','female div/dep/mar',young,skilled,good
819,'<0','existing paid',other,high,'<100',unemployed,'male div/sep',middle aged,'high qualif/self emp/mgmt',good
820,'<0','existing paid',radio/tv,low,'<100','1<=X<4','male mar/wid',young,skilled,bad
821,'no checking','existing paid','new car',low,'<100','1<=X<4','male mar/wid',young,skilled,good
822,'>=200','existing paid',radio/tv,medium,'<100','1<=X<4','male mar/wid',young,skilled,good
823,'<0','existing paid',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,bad
824,'<0','critical/other existing credit','new car',low,'<100','>=7','male single',middle aged,'unskilled resident',good
825,'no checking','critical/other existing credit',furniture/equipment,medium,'<100','<1','male div/sep',young,'high qualif/self emp/mgmt',good
826,'<0','critical/other existing credit','new car',low,'<100','>=7','male mar/wid',young,skilled,good
827,'<0','critical/other existing credit','new car',medium,'<100','>=7','female div/dep/mar',young,skilled,bad
828,'no checking','no credits/all paid',business,medium,'<100','1<=X<4','male single',young,skilled,bad
829,'<0','existing paid','used car',medium,'no known savings','>=7','male single',middle aged,skilled,bad
830,'0<=X<200','delayed previously',business,medium,'no known savings','1<=X<4','male single',young,skilled,good
831,'no checking','delayed previously',business,medium,'500<=X<1000','1<=X<4','male single',middle aged,skilled,good
832,'<0','existing paid','new car',low,'<100','<1','female div/dep/mar',young,skilled,bad
833,'<0','no credits/all paid',business,high,'<100','>=7','male single',young,skilled,bad
834,'0<=X<200','existing paid',radio/tv,medium,'no known savings','>=7','female div/dep/mar',middle aged,skilled,good
835,'>=200','existing paid',radio/tv,medium,'<100','<1','female div/dep/mar',young,'unskilled resident',bad
836,'<0','no credits/all paid','new car',low,'<100','1<=X<4','male single',middle aged,skilled,bad
837,'no checking','existing paid',radio/tv,low,'no known savings','1<=X<4','female div/dep/mar',young,skilled,good
838,'no checking','existing paid',furniture/equipment,low,'<100','<1','female div/dep/mar',young,'unskilled resident',good
839,'<0','critical/other existing credit','used car',medium,'<100','>=7','male single',old aged,skilled,good
840,'no checking','critical/other existing credit',radio/tv,medium,'<100','>=7','male mar/wid',middle aged,skilled,good
841,'<0','existing paid',furniture/equipment,medium,'<100','4<=X<7','male single',young,skilled,bad
842,'no checking','delayed previously','used car',medium,'<100','1<=X<4','male single',young,'unskilled resident',good
843,'no checking','existing paid',repairs,low,'<100','<1','female div/dep/mar',young,skilled,bad
844,'no checking','all paid',business,low,'<100','4<=X<7','male single',middle aged,skilled,good
845,'no checking','existing paid',furniture/equipment,medium,'<100','>=7','male single',middle aged,skilled,good
846,'0<=X<200','existing paid',furniture/equipment,medium,'no known savings','4<=X<7','male single',young,skilled,good
847,'no checking','existing paid','new car',medium,'no known savings','1<=X<4','male single',old aged,skilled,bad
848,'no checking','existing paid','new car',low,'<100','<1','male mar/wid',young,skilled,good
849,'<0','existing paid',radio/tv,low,'<100','4<=X<7','male single',middle aged,skilled,good
850,'<0','existing paid',radio/tv,low,'<100','>=7','male single',middle aged,'unskilled resident',bad
851,'<0','critical/other existing credit','new car',medium,'<100','1<=X<4','male mar/wid',young,skilled,bad
852,'no checking','critical/other existing credit','used car',medium,'no known savings','4<=X<7','male single',middle aged,skilled,good
853,'no checking','critical/other existing credit',radio/tv,low,'<100','1<=X<4','male single',young,skilled,good
854,'<0','all paid','new car',low,'<100','4<=X<7','male single',young,'unskilled resident',bad
